X,Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG.,X3P,X3PA,X3P.,X2P,X2PA,X2P.,FT,FTA,FT.,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year,PosNum,cluster
141,120,Mario Elie,SF,36,SAS,79,79,2217,3.2,7.4,0.427,1.2,3,0.398,2,4.4,0.446,2,2.4,0.846,0.8,3.3,4,3.1,1.2,0.1,2.1,2.5,9.6,2000,3,3
143,122,Dale Ellis,SG,39,TOT,42,5,564,4.2,10.1,0.415,2.4,6.4,0.37,1.9,3.8,0.492,0.6,0.8,0.692,0.8,2.7,3.6,0.9,0.8,0,1.3,2.9,11.4,2000,2,3
146,123,LaPhonso Ellis,PF,29,ATL,58,8,1309,5.7,12.8,0.45,0.1,0.6,0.143,5.7,12.2,0.465,1.8,2.6,0.695,2.7,5.3,8,1.6,0.9,0.7,1.4,3.7,13.4,2000,4,2
149,126,Patrick Ewing,C,37,NYK,62,62,2035,6.4,13.7,0.466,0,0,0,6.4,13.7,0.467,3.7,5,0.731,2.5,8.2,10.7,1,0.6,1.5,2.5,3.5,16.4,2000,5,1
150,127,Tony Farmer,PF,30,GSW,74,9,1199,3.8,9.4,0.407,0.2,1.3,0.182,3.6,8,0.444,6.1,8,0.766,3.5,5.3,8.9,2.2,2,0.5,2.5,5,14,2000,4,1
151,128,Jamie Feick,C,25,NJN,81,17,2241,2.9,6.8,0.428,0,0,1,2.9,6.7,0.424,1.5,2.1,0.707,4.2,7.9,12.1,1.1,0.7,0.6,0.9,3.3,7.4,2000,5,2
152,129,Danny Ferry,PF,33,CLE,63,3,1326,5.1,10.3,0.497,0.9,2,0.44,4.2,8.3,0.511,1.4,1.5,0.912,1.5,5,6.5,1.8,0.6,0.7,1.5,4.9,12.6,2000,4,2
153,130,Michael Finley,SF,26,DAL,82,82,3464,7.8,17,0.457,1,2.6,0.401,6.7,14.4,0.467,2.7,3.3,0.82,1.3,4.1,5.4,4.6,1.1,0.3,2,1.8,19.3,2000,3,4
154,131,Derek Fisher,PG,25,LAL,78,22,1803,3.3,9.6,0.346,1,3.3,0.313,2.3,6.3,0.363,2.1,2.9,0.724,0.4,2.4,2.9,4.3,1.6,0.1,1.5,3,9.8,2000,1,3
155,132,Danny Fortson,PF,23,BOS,55,5,856,5.9,11.1,0.528,0,0,NA,5.9,11.1,0.528,5.8,7.9,0.735,5.9,9.5,15.4,1.2,0.8,0.2,2.8,7.6,17.6,2000,4,2
156,133,Greg Foster,PF,31,SEA,60,5,718,4.6,11.2,0.406,0.2,0.8,0.2,4.4,10.5,0.421,0.9,1.4,0.643,0.8,4.6,5.4,2.1,0.5,0.9,1.4,5.3,10.2,2000,4,2
158,135,Rick Fox,SF,30,LAL,82,1,1473,5,12.2,0.414,1.4,4.4,0.326,3.6,7.7,0.464,1.5,1.9,0.808,1.5,3.3,4.8,3.4,1.3,0.6,2.1,5,13.1,2000,3,3
159,136,Adonal Foyle,C,24,GSW,76,59,1654,4.2,8.3,0.508,0,0,NA,4.2,8.3,0.508,0.7,2,0.378,3.8,5.4,9.2,0.9,0.6,3,1.5,4.7,9.1,2000,5,2
160,137,Steve Francis,PG,22,HOU,77,77,2776,6.4,14.5,0.445,1.4,4,0.345,5.1,10.5,0.483,3.7,4.7,0.786,2,3.3,5.3,6.6,1.5,0.4,4,3,18,2000,1,4
162,139,Lawrence Funderburke,PF,29,SAC,75,1,1026,6.5,12.4,0.523,0,0.1,0,6.5,12.3,0.526,4,5.7,0.706,3.4,4.8,8.2,1.2,1.1,0.7,1.4,3.2,16.9,2000,4,1
163,140,Kevin Garnett,PF,23,MIN,81,81,3243,8.4,16.9,0.497,0.3,0.9,0.37,8.1,16,0.504,3.4,4.5,0.765,2.5,8.1,10.6,4.5,1.3,1.4,3,2.3,20.6,2000,4,1
164,141,Dean Garrett,C,33,MIN,56,23,604,2.9,6.4,0.444,0,0,NA,2.9,6.4,0.444,1.1,1.5,0.692,2.4,5.9,8.3,1.1,0.5,2.4,1.3,5.6,6.8,2000,5,2
166,143,Pat Garrity,SF,23,ORL,82,1,1479,6.3,14.2,0.441,1.9,4.8,0.401,4.4,9.4,0.461,1.9,2.7,0.721,1.1,4,5.1,1.4,0.8,0.5,2.1,4.8,16.4,2000,3,3
167,144,Chris Gatling,PF,32,TOT,85,0,1811,7.3,15.9,0.455,0.4,1.4,0.257,6.9,14.6,0.474,5.3,7.4,0.713,3.1,6.9,10,1.4,1.6,0.5,3.4,4.9,20.2,2000,4,1
168,144,Chris Gatling,PF,32,ORL,45,0,1041,7.3,16,0.455,0.2,0.8,0.304,7,15.2,0.462,5.9,8.5,0.698,3.1,7.1,10.3,1.4,1.7,0.3,3.6,4.9,20.7,2000,4,1
169,144,Chris Gatling,PF,32,DEN,40,0,770,7.2,15.9,0.456,0.5,2.2,0.234,6.7,13.7,0.491,4.4,6,0.742,2.9,6.6,9.6,1.4,1.6,0.6,3,4.9,19.4,2000,4,1
170,145,Matt Geiger,C,30,PHI,65,20,1406,6.7,15.1,0.441,0,0.1,0,6.7,15,0.444,2.8,3.6,0.779,3.9,6,9.9,1,0.7,0.6,2.3,5,16.1,2000,5,1
172,147,Kendall Gill,SF,31,NJN,76,75,2355,6.1,14.6,0.414,0.3,1.2,0.256,5.7,13.4,0.428,2.8,3.9,0.71,1.3,3.1,4.3,3.2,2.1,0.6,1.4,3.2,15.2,2000,3,4
173,148,Armen Gilliam,PF,35,UTA,50,0,782,6.1,14,0.436,0,0,0,6.1,14,0.438,3.1,4,0.779,3.3,6.3,9.6,1.9,0.6,0.7,2.5,3.8,15.3,2000,4,1
175,150,Brian Grant,PF,27,POR,63,14,1322,4.7,9.6,0.491,0,0.1,0.5,4.7,9.5,0.491,3,4.5,0.675,3.3,6.1,9.4,1.7,0.9,0.8,2.3,4.5,12.5,2000,4,2
177,152,Horace Grant,PF,34,SEA,76,76,2688,3.6,8,0.444,0,0.1,0,3.6,8,0.447,1.1,1.5,0.721,2.2,5.7,7.9,2.5,0.7,0.8,0.8,2.6,8.2,2000,4,3
179,154,A.C. Green,PF,36,LAL,82,82,1929,3.2,7.2,0.447,0,0.1,0.25,3.2,7.1,0.449,1.2,1.8,0.695,3,6.1,9.1,1.5,1,0.3,1,2.4,7.7,2000,4,3
180,155,Adrian Griffin,SG,25,BOS,72,47,1927,3.3,7.7,0.424,0.3,1.1,0.281,3,6.7,0.447,2.2,3,0.753,2.4,4.6,6.9,3.3,2.2,0.3,1.7,4.1,9.1,2000,2,3
181,156,Tom Gugliotta,PF,30,PHO,54,54,1767,6.3,13.1,0.481,0,0.2,0.125,6.3,13,0.485,2.4,3.1,0.775,2.9,5.8,8.7,2.5,1.6,0.6,2.2,3.1,15,2000,4,1
182,157,Darvin Ham,SF,26,MIL,35,21,792,3.2,5.8,0.555,0,0,0,3.2,5.8,0.559,1.6,3.5,0.449,3.9,4,7.8,1.9,1.3,1.3,1.3,4.6,8,2000,3,2
183,158,Richard Hamilton,SG,21,WAS,71,12,1373,6.7,15.9,0.42,0.7,2,0.364,5.9,13.8,0.428,2.7,3.5,0.774,1,2.4,3.4,2.8,0.7,0.2,2.2,3.7,16.8,2000,2,4
186,161,Anfernee Hardaway,SG,28,PHO,60,60,2253,6,12.8,0.474,0.5,1.6,0.324,5.5,11.1,0.496,3.6,4.6,0.79,1.5,4.1,5.5,5,1.5,0.6,2.4,2.6,16.2,2000,2,4
187,162,Tim Hardaway,PG,33,MIA,52,52,1672,5.3,13.7,0.386,2,5.5,0.367,3.3,8.2,0.398,2.4,2.9,0.827,0.5,2.7,3.2,8.3,1.1,0.1,2.6,2.4,15,2000,1,4
